   50.090, 0.3892, 0.6234,  3.80143,  3.82651,    90.00,  89.85,   2.24, 
   50.100, 0.3889, 0.6236,  3.80078,  3.82630,    90.00,  89.85,   2.28, 
   50.110, 0.3885, 0.6238,  3.80010,  3.82606,    90.00,  89.85,   2.32, 
   50.121, 0.3880, 0.6241,  3.79938,  3.82580,    90.00,  89.85,   2.36, 
   50.134, 0.3876, 0.6243,  3.79862,  3.82552,    90.00,  89.85,   2.40, 
   50.148, 0.3871, 0.6246,  3.79781,  3.82520,    90.00,  89.85,   2.45, 
   50.163, 0.3865, 0.6250,  3.79696,  3.82486,    90.00,  89.85,   2.49, 
   50.179, 0.3859, 0.6253,  3.79606,  3.82447,    90.00,  89.85,   2.54, 
   50.197, 0.3852, 0.6257,  3.79511,  3.82405,    90.00,  89.85,   2.59, 
   50.218, 0.3845, 0.6262,  3.79409,  3.82359,    90.00,  89.85,   2.64, 
   50.240, 0.3836, 0.6266,  3.79302,  3.82307,    90.00,  89.85,   2.69, 
   50.264, 0.3827, 0.6272,  3.79187,  3.82251,    90.00,  89.85,   2.74, 
   50.291, 0.3817, 0.6278,  3.79065,  3.82188,    90.00,  89.85,   2.80, 
   50.320, 0.3806, 0.6284,  3.78935,  3.82119,    90.00,  89.85,   2.85, 
   50.352, 0.3794, 0.6291,  3.78797,  3.82042,    90.00,  89.85,   2.91, 
   50.388, 0.3781, 0.6299,  3.78650,  3.81958,    90.00,  89.85,   2.97, 
   50.427, 0.3766, 0.6307,  3.78493,  3.81865,    90.00,  89.85,   3.03, 
   50.470, 0.3750, 0.6317,  3.78326,  3.81762,    90.00,  89.85,   3.09, 
   50.517, 0.3733, 0.6327,  3.78148,  3.81648,    90.00,  89.85,   3.15, 
   50.570, 0.3713, 0.6339,  3.77958,  3.81522,    90.00,  89.85,   3.21, 
   50.627, 0.3692, 0.6351,  3.77756,  3.81384,    90.00,  89.85,   3.26, 
   50.690, 0.3668, 0.6365,  3.77540,  3.81230,    90.00,  89.85,   3.32, 
   50.759, 0.3642, 0.6380,  3.77310,  3.81062,    90.00,  89.85,   3.38, 
   50.835, 0.3614, 0.6397,  3.77065,  3.80876,    90.00,  89.85,   3.44, 
   50.919, 0.3583, 0.6415,  3.76804,  3.80671,    90.00,  89.85,   3.49, 
   51.012, 0.3548, 0.6435,  3.76525,  3.80446,    90.00,  89.85,   3.54, 
   51.113, 0.3510, 0.6457,  3.76220,  3.80200,    90.00,  89.85,   3.59, 
   51.225, 0.3469, 0.6482,  3.75877,  3.79930,    90.00,  89.85,   3.65, 
   51.348, 0.3423, 0.6509,  3.75485,  3.79636,    90.00,  89.85,   3.74, 
   51.483, 0.3372, 0.6538,  3.75036,  3.79316,    90.00,  89.85,   3.85, 
   51.631, 0.3317, 0.6571,  3.74521,  3.78968,    90.00,  89.85,   4.00, 
   51.795, 0.3256, 0.6606,  3.73931,  3.78592,    90.00,  89.85,   4.19, 
   51.974, 0.3189, 0.6646,  3.73257,  3.78186,    90.00,  89.85,   4.43, 
   52.172, 0.3115, 0.6689,  3.72490,  3.77748,    90.00,  89.85,   4.73, 
   52.390, 0.3034, 0.6736,  3.71623,  3.77272,    90.00,  89.85,   5.08, 
   52.629, 0.2944, 0.6789,  3.70651,  3.76753,    90.00,  89.85,   5.49, 
   52.892, 0.2846, 0.6846,  3.69576,  3.76178,    90.00,  89.85,   5.94, 
   53.182, 0.2738, 0.6910,  3.68401,  3.75529,    90.00,  89.85,   6.41, 
   53.501, 0.2619, 0.6979,  3.67131,  3.74781,    90.00,  89.85,   6.88, 
   53.851, 0.2488, 0.7056,  3.65750,  3.73900,    90.00,  89.85,   7.33, 
   54.236, 0.2344, 0.7140,  3.64193,  3.72852,    90.00,  89.85,   7.79, 
   54.660, 0.2186, 0.7233,  3.62610,  3.71607,    90.00,  89.85,   8.09, 
   55.127, 0.2012, 0.7334,  3.61662,  3.70153,    90.00,  89.85,   7.61, 
   55.640, 0.1820, 0.7447,  3.60960,  3.68505,    90.00,  89.85,   6.79, 
   56.153, 0.1629, 0.7559,  3.60078,  3.66856,    90.00,  89.85,   6.11, 
   56.666, 0.1437, 0.7671,  3.58141,  3.65186,    90.00,  89.85,   6.35, 
